session_id,worker_id,model,prompt,prompt_dataset,letter_accuracy,clue_accuracy
61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,NYT-1,0.3783783783783784,0.23076923076923078
173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,NYT-2,0.24324324324324326,0.19230769230769232
61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,NYT-1,0.2972972972972973,0.1794871794871795
61_a9c7faeb33dba785fed1c36cb0cb900b_text-davinci,a9c7faeb33dba785fed1c36cb0cb900b,InstructDavinci,61,NYT-1,0.3891891891891892,0.3076923076923077
61_856818cc4b4e6e71b3dd2f4231e4faa6_text-babbage,856818cc4b4e6e71b3dd2f4231e4faa6,InstructBabbage,61,NYT-1,0.06486486486486487,0.02564102564102564
61_b3d7cef6025c405a32e821b15d0da84c_ai2-jumbo,b3d7cef6025c405a32e821b15d0da84c,Jumbo,61,NYT-1,0.9891891891891892,0.9487179487179487
173_bcf79408c938102a43ced0a5f18a54dc_davinci,bcf79408c938102a43ced0a5f18a54dc,Davinci,173,NYT-2,0.24864864864864866,0.1282051282051282
151_bbeffde989f18ac2b24708a4519045e1_text-davinci,bbeffde989f18ac2b24708a4519045e1,InstructDavinci,151,ELECT,1.0,1.0
191_9cf53ac9fa5451a616d830159b722731_ai2-jumbo,9cf53ac9fa5451a616d830159b722731,Jumbo,191,LOVE,0.23404255319148937,0.17105263157894737
191_07f320faed67b2aece0fb3bde1f87998_text-davinci,07f320faed67b2aece0fb3bde1f87998,InstructDavinci,191,LOVE,0.3776595744680851,0.25
187_4cc14c46cbd6625508879475c8faba2c_ai2-jumbo,4cc14c46cbd6625508879475c8faba2c,Jumbo,187,SIT,1.0,1.0
61_38a898008ab333281df60be41f6ce283_text-babbage,38a898008ab333281df60be41f6ce283,InstructBabbage,61,NYT-1,0.12972972972972974,0.07692307692307693
61_41c9f58c5311a41acc6fff3c3c189610_text-babbage,41c9f58c5311a41acc6fff3c3c189610,InstructBabbage,61,NYT-1,1.0,1.0
173_4e1012899a3f6dbeb511b28f69fc4de7_text-davinci,4e1012899a3f6dbeb511b28f69fc4de7,InstructDavinci,173,NYT-2,0.7081081081081081,0.6153846153846154
