session_id,worker_id,order_id,model,prompt,sequence_id,question_id,question_type,question_category,question_text,choice_a,choice_b,choice_c,choice_d,answer,answer_text,lm_used,user_queries,user_query_types,lm_responses,user_answer,user_correct,elapsed_time,num_queries,num_events
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,0,InstructDavinci,19,19,5,ctrl,Miscellany,In the phrase 'Y2K' what does 'K' stand for?,millennium,computer code,catastrophe,thousand,d,thousand,0,[],[],[],d,1,0.15,0,3
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,1,InstructDavinci,19,19,14,ctrl,US foreign policy,"Within the United Nations, real power is located in",the Security Council.,the Chamber of Deputies.,the Council of Ministers.,the Secretariat.,a,the Security Council.,0,[],[],[],a,1,0.03,0,2
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,2,InstructDavinci,19,19,10,ctrl,Global facts,The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,c,15-49,0,[],[],[],c,1,0.02,0,2
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,3,InstructDavinci,19,19,24,ctrl,College chemistry,Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following?,Neutrons,Alpha particles,Beta particles,X-rays,a,Neutrons,0,[],[],[],d,0,0.01,0,2
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,4,InstructDavinci,19,19,29,ctrl,College chemistry,The fact that the infrared absorption frequency of deuterium chloride (DCl) is shifted from that of hydrogen chloride (HCl) is due to the differences in their,electron distribution,dipole moment,force constant,reduced mass,d,reduced mass,0,[],[],[],a,0,0.02,0,2
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,5,InstructDavinci,19,19,30,attn,attention,"Attention Check Question! Please select the answer that says ""Pick Me! :)"".",Blue,Carrot,Pick Me! :),Gold,c,Pick Me! :),0,[],[],[],c,1,0.02,0,2
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,6,InstructDavinci,19,19,0,lm,Miscellany,During what war did Francis Scott Key write the words to 'The Star-Spangled Banner'?,American Revolution,War of 1812,Civil War,World War I,b,War of 1812,1,"['In which war was ""The Star Spangled Banner"" written?']",['question'],['The War of 1812.'],b,1,0.39,1,56
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,7,InstructDavinci,19,19,16,lm,US foreign policy,What were the 'open-door notes'?,An American declaration that the US was always open to Chinese immigration,"An American proclamation that China should be divided up between the US, Japan and the European empires",An American proclamation that China should be open to US trade and missionaries,An American declaration of support for Chinese economic protectionism,c,An American proclamation that China should be open to US trade and missionaries,1,"['What is the meaning of the phrase ""open door notes""?', 'What is the meaning of the phrase ""the open door notes""?', 'What is the meaning of the phrase ""the open door notes"" regarding the US and China?']","['meaning;question', 'meaning;question', 'meaning;question']","['Open door notes are informal notes that are passed between colleagues or friends to communicate without having to speak. They are typically used to share quick updates, ask for help, or make requests.', 'The phrase ""the open door notes"" refers to a set of notes that were allegedly written by a man named Alister Crowley. The notes outline a method for summoning a demon known as Lam.', 'The phrase ""the open door notes"" refers to a set of notes sent by the United States to China in 1899. The notes outlined the United States\' policy on China, which included the idea that the United States would support China\'s efforts to maintain open trade and equal access to trade in China.']",c,1,1.33,3,100
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,8,InstructDavinci,19,19,8,lm,Global facts,"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,b,26%,1,"['In 2017, what percentage of people in India had used the internet within the last three months?']",['close;question'],['35%'],c,0,0.98,1,120
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,9,InstructDavinci,19,19,20,lm,Nutrition,"When using bioelectrical impedance for measuring body composition, why does an electrical current travel faster through muscle than it does through fat?",Muscle contains less water than fat,Muscle contains more water than fat,Muscle weighs more than fat,Muscle weighs less than fat,b,Muscle contains more water than fat,1,"['Why does electricity travel faster through muscle than fat?', 'In what does electricity travel fastest: through muscle than fat?', 'Why does electricity travel fastest in fat?', 'Why is fat a good conductor of electricity?', 'Which contains more water: muscle or fat?', 'Which weighs more: muscle or fat?']","['question', 'question', 'question', 'question', 'question', 'question']","['Electricity travels faster through muscle because muscle is a better conductor than fat.', 'Muscle is a better conductor of electricity than fat.', 'Electricity travels fastest in fat because it is a good conductor of electricity.', 'Fat is a good conductor of electricity because it is a good insulator.', 'Muscle', ""The weight of muscle and fat are both dependent on the person's build and muscle mass. However, muscle typically weighs more than fat.""]",b,1,2.44,6,234
