name,session_id,worker_id,order_id,model,prompt,elapsed_time,document,original_summary,original_normalized_summary,original_length,original_consistency,original_coherency,original_relevance,edited_summary,edited_normalized_summary,edited_length,edited_consistency,edited_coherency,edited_relevance,distance,original_consistency_third_party,original_relevance_third_party,original_coherency_third_party,edited_consistency_third_party,edited_relevance_third_party,edited_coherency_third_party
summary-00,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,0,InstructBabbage,13,1.99,"Canada presents a chance for Lewis Hamilton to close the gap on the great Michael Schumacher's record of seven wins there, as the Briton searches for a sixth pole and sixth win. And add to that the small matter of a 25-point deficit to chip into at the top of the drivers' championship. So, make your qualifying top three predictions below... then come back over on Sunday to select your race top 10. Pick who you think will master qualifying for Sunday's Canadian Grand Prix",Lewis Hamilton will start from pole and win the Canadian Grand Prix.,lewis hamilton will start from pole and win the canadian grand prix,12,False,False,False,Lewis Hamilton has a chance to close the gap on Michael Schumacher's record and win the Canadian Grand Prix.,lewis hamilton has a chance to close the gap on michael schumachers record and win the canadian grand prix,19,True,True,True,11,,,,,,
summary-01,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,1,InstructBabbage,13,1.78,"The eggs were produced by the mating pair Monty and Glesni, who have previously produced four eggs in the last three years. This batch of eggs was first spotted at the Cors Dyfi nature reserve near Machynlleth in Powys on 25 April. The first chick hatched last Friday, with the second appearing on Sunday followed by the third late on Tuesday. It was the first time Glesni had laid three eggs, the Dyfi Osprey Project said. The chicks have been named Bob 1, 2 and 3. Another nesting pair in the Glaslyn Osprey Project, near Porthmadog, is currently incubating two eggs","The eggs of a pair of Monty and Glesni, which have previously produced four eggs in the last three years, have been spotted at the Cors Dyfi nature reserve near Machynlleth in Powys on 25 April.",the eggs of a pair of monty and glesni which have previously produced four eggs in the last three years have been spotted at the cors dyfi nature reserve near machynlleth in powys on 25 april,36,False,True,True,"The eggs of a pair of Monty and Glesni, which have previously produced four eggs in the last three years, had been spotted at the Cors Dyfi nature reserve near Machynlleth in Powys on the 25th of April. The eggs have since hatched.",the eggs of a pair of monty and glesni which have previously produced four eggs in the last three years had been spotted at the cors dyfi nature reserve near machynlleth in powys on the 25th of april the eggs have since hatched,43,True,True,True,9,,,,,,
summary-02,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,2,InstructBabbage,13,0.26,"Hylton joined Luton on a two-year deal in May 2016 after rejecting a new contract at Oxford United. The 27-year-old is the Hatters' top scorer this season, with 14 goals in 26 games in all competitions. ""This is a big signing for us and it's like a new one really because it secures him for us long-term,"" manager Nathan Jones told the club website. ""We got him in the summer and he's been a revelation, not only on the pitch but off it too with the way he is around the place.""",Hylton has joined Luton on a two-year contract and is the club's top scorer this season.,hylton has joined luton on a twoyear contract and is the clubs top scorer this season,16,True,True,True,Hylton has joined Luton on a two-year contract and is the club's top scorer this season.,hylton has joined luton on a twoyear contract and is the clubs top scorer this season,16,True,True,True,0,1.0,4.67,5.0,1.0,4.67,5.0
summary-03,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,3,InstructBabbage,13,2.87,"World number nine O'Sullivan, 40, rallied from 4-3 down to win 6-4, finishing with a 101 break against the Norwegian world number 42. O'Sullivan will face fellow Englishman Michael Holt in round three, in the richest tournament outside the UK. Defending champion John Higgins beat Jak Jones 6-2 in Daqing. World champion and number one Mark Selby also won 6-2 against John Astley. Stuart Bingham, Judd Trump, Shaun Murphy, Ding Junhui and Neil Robertson also made it through to the third round. On Monday, five-time world champion O'Sullivan said he was ""not good enough"" to compete with the top players.","O'Sullivan won 6-4 against Norwegian world number 42 Michael Holt, finishing with a 101 break.",osullivan won 64 against norwegian world number 42 michael holt finishing with a 101 break,15,False,False,True,"O'Sullivan won 6-4 against Norwegian world number 42, finishing with a 101 break. He will now face Michael Holt in round three, despite O'Sullivan stating that he himself is ""not good enough"" to compete with these other top players.",osullivan won 64 against norwegian world number 42 finishing with a 101 break he will now face michael holt in round three despite osullivan stating that he himself is not good enough to compete with these other top players,39,True,True,True,29,0.33,3.33,3.67,1.0,4.67,4.33
summary-04,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,4,InstructBabbage,13,8.27,"A 43-year-old man was found at a house in Shirley Terrace, Gomersal, on Friday at about 18:30 GMT, said West Yorkshire Police. He had been attacked and was treated by paramedics but died at the scene, said the force. A 47-year-old woman and 26-year-old man have been arrested on suspicion of murder and are in police custody. Police are appealing for witnesses who saw anything around Shirley Terrace.","A 43-year-old man was found at a house in Shirley Terrace, Gomersal, on Friday at about 18:30 GMT.",a 43yearold man was found at a house in shirley terrace gomersal on friday at about 1830 gmt,18,False,False,False,"A 43-year-old man was found at a house in Shirley Terrace, Gomersal, on Friday at about 18:30 GMT.  He was treated by paramedics but died at the scene after an attack. A 47 year old woman and 26 year old man have been arrested on suspicion of murder.",a 43yearold man was found at a house in shirley terrace gomersal on friday at about 1830 gmt  he was treated by paramedics but died at the scene after an attack a 47 year old woman and 26 year old man have been arrested on suspicion of murder,48,True,True,True,30,,,,,,
summary-05,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,5,InstructBabbage,13,2.99,"The victim was walking along Bridgefoot Street in the south west inner city at about 16.10 local time on Friday, when a gunman approached him. He was shot a number of times and was taken to St James Hospital, where he was later pronounced dead. The gunman is believed to have left the scene in a silver or grey coloured Mercedes Benz CLA. The car, which had been stolen from Navan Road on Thursday, was driven by a second man. It was discovered, burnt out, at Spitalfields, close to Dublin's Carman's Hall. A firearm was recovered close to the scene by GardaÃ­ (Irish police) and will be forensically examined. The scene of the shooting has been cordoned off.",The victim was walking along Bridgefoot Street in the south west inner city at about 16.10 local time on Friday when a gunman approached him.,the victim was walking along bridgefoot street in the south west inner city at about 1610 local time on friday when a gunman approached him,25,False,False,False,"A victim was walking along Bridgefoot Street at about 16.10 local time on Friday when a gunman approached him. He was shot multiple times and later pronounced dead. The gunman escaped in a stolen car which was driven by a second man. The car was later discovered, burnt out, with the firearm located nearby. ",a victim was walking along bridgefoot street at about 1610 local time on friday when a gunman approached him he was shot multiple times and later pronounced dead the gunman escaped in a stolen car which was driven by a second man the car was later discovered burnt out with the firearm located nearby,54,True,True,True,42,,,,,,
summary-06,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,6,InstructBabbage,13,3.45,"Graham Wagg is named in the team - who have not won yet this season - despite suffering an arm injury in Bristol, while Craig Meschede returns. Essex's Nick Browne has recovered from a groin strain suffered during his career-best 255 against Derbyshire. Experienced seamer David Masters replaces Aaron Beard. Essex are the only side in the division to have won twice this season. Glamorgan: Rudolph (c), Wallace (wk), Bragg, Cooke, Donald, Lloyd, Wagg, Meschede, Salter, Van der Gugten, Hogan. Essex:  Browne, Mickleburgh, Westley, Bopara, Lawrence, Ryder, ten Doeschate (c), Foster (wk), Napier, Masters, Porter.","Essex are named in the team - who have not won yet this season - despite suffering an arm injury in Bristol, while Craig Meschede returns.",essex are named in the team  who have not won yet this season  despite suffering an arm injury in bristol while craig meschede returns,24,False,False,False,Graham Wagg is named in the team - who have not won yet this season - despite suffering an arm injury in Bristol. Craig Meschede returns and Essex's Nick Browne has recovered from a groin strain sustained during his career best 255 against Derbyshire. ,graham wagg is named in the team  who have not won yet this season  despite suffering an arm injury in bristol craig meschede returns and essexs nick browne has recovered from a groin strain sustained during his career best 255 against derbyshire,42,True,True,True,24,,,,,,
summary-07,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,7,InstructBabbage,13,3.84,"Alex Henshall, 22, who played for Ipswich Town, was caught on Commercial Road, Ipswich, The Kilmarnock winger, who played for England's youth team, was also given six penalty points by magistrates. He was ordered to pay a Â£40 victim surcharge, fined Â£395 with court costs of Â£150. Henshall, also formerly of Swindon Town, did not appear at Ipswich Magistrates' Court, but his solicitor submitted a letter to the court in which he admitted the offence which occurred on 7 September, last year.","Alex Henshall, 22, who played for Ipswich Town, was caught on Commercial Road, Ipswich, The Kilmarnock winger, who played for England's youth team, was also given six penalty points by magistrates.",alex henshall 22 who played for ipswich town was caught on commercial road ipswich the kilmarnock winger who played for englands youth team was also given six penalty points by magistrates,31,True,False,False,"Alex Henshall, 22, who played for Ipswich Town, was caught on Commercial Road, Ipswich, He was given six penalty points by magistrates and ordered to pay 585 pounds in fines, victim surcharges and court costs. ",alex henshall 22 who played for ipswich town was caught on commercial road ipswich he was given six penalty points by magistrates and ordered to pay 585 pounds in fines victim surcharges and court costs,35,True,True,True,21,1.0,4.33,4.33,1.0,4.67,4.0
summary-08,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,8,InstructBabbage,13,2.53,"Ashurst, 24, has made 17 league appearances, scoring four tries for Iestyn Harris's side this season. He joined the Red Devils from St Helens in October 2011 and joins Craig Hall and Mickael Simon in James Webster's squad at Belle Vue for next term. ""I'm excited for a new challenge,"" said former Chorley Panther Ashurst. ""Webbo [Webster] really sold the club to me and the work ethic that is in place there - and I'm just looking to come and work hard and do my part for the squad.""","Ashurst, 24, has made 17 league appearances for Iestyn Harris's side this season and joins Craig Hall and Mickael Simon in James Webster's squad for next term.",ashurst 24 has made 17 league appearances for iestyn harriss side this season and joins craig hall and mickael simon in james websters squad for next term,27,True,True,True,"Ashurst, 24, has made 17 league appearances for Iestyn Harris's side this season and joins Craig Hall and Mickael Simon in James Webster's squad for next term.",ashurst 24 has made 17 league appearances for iestyn harriss side this season and joins craig hall and mickael simon in james websters squad for next term,27,True,True,True,0,,,,,,
summary-09,12195ed75008463084d1b299d6c39106,73ec1029bf71471d555c0684421a606f,9,InstructBabbage,13,2.78,"IG Doors is building a new 18,000 sq m (193,750 sq ft) manufacturing facility in Oakdale, Caerphilly county. The company said the development will protect 140 existing jobs and eventually boost its staff to 400. Work on the development begins on Wednesday and managing director Mark Pulman described it as a ""significant investment"". The development was part-funded by the Welsh government, which contributed Â£1m. IG Doors supplies the house building industry and currently has a site in Cwmbran, Torfaen. Mr Pulman added: ""This is a major development for the region and one we are very excited to be a part of.""","IG Doors is building a new 18,000 sq m (193,750 sq ft) manufacturing facility in Oakdale, Caerphilly county.",ig doors is building a new 18000 sq m 193750 sq ft manufacturing facility in oakdale caerphilly county,18,True,False,False,"IG Doors is building a new 18,000 sq m (193,750 sq ft) manufacturing facility in Oakdale, Caerphilly county. The development will protect 140 existing jobs and eventually staff up to 400. It was partly funded by the Welsh Government. ",ig doors is building a new 18000 sq m 193750 sq ft manufacturing facility in oakdale caerphilly county the development will protect 140 existing jobs and eventually staff up to 400 it was partly funded by the welsh government,39,True,True,True,21,,,,,,
summary-00,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,0,Jumbo,3,0.79,"Knox, who teed off with Rickie Fowler and Hideki Matsuyama, is four over on 76 after two bogeys and a double bogey in his back nine at Augusta National. Lyle got an early birdie on the third hole but six bogeys left him on 77. World number one Dustin Johnson is out of the event after suffering a back injury in a fall at his rental home. Lyle, winner in 1988, starts his second round with American Sean O'Hair and English amateur Scott Gregory at 17:13 BST on Friday, with Knox teeing off at 18:19. Englishmen Matthew Fitzpatrick and Andy Sullivan are among those on one under after round one.","Ian Woosnam says Ian Poulter's Ryder Cup captaincy ""will be a poisoned chalice"".",ian woosnam says ian poulters ryder cup captaincy will be a poisoned chalice,13,False,False,False,"Knox is off to a slow start against Fowler and Matsuyama, with Knox currently four over.",knox is off to a slow start against fowler and matsuyama with knox currently four over,16,True,True,True,16,,,,,,
summary-01,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,1,Jumbo,3,0.9,"An analysis of 24.5 million MOT records by website Honest John found that headlamps and tyre tread depth were the most common faults. Problems with the registration plate lamp and windscreen wipers were also regular features on failure records. Cars require an MOT every year, after they are three years old. The website suggested that Hondas and Toyotas were highest on the list of first-time MOT pass rates.",Honest John has analysed 24.5 million MOT records and found that Hondas and Toyotas are the highest first-time MOT pass rates.,honest john has analysed 245 million mot records and found that hondas and toyotas are the highest firsttime mot pass rates,21,True,True,True,"Honest John has analysed 24.5 million MOT records and found that Hondas and Toyotas are the highest first-time MOT pass rates.  Other common faults were headlamp-, tyre-, or windscreen-wiper-related.",honest john has analysed 245 million mot records and found that hondas and toyotas are the highest firsttime mot pass rates  other common faults were headlamp tyre or windscreenwiperrelated,29,True,True,True,8,1.0,4.33,4.67,1.0,4.67,3.67
summary-02,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,2,Jumbo,3,0.57,"Kendal Mountain Festival, which was held on the 17- 20 November, attracted 14,000 visitors and generated £2m in visitor spend in and around the town. Held annually for 16 years, the event includes workshops, exhibitions and a trail run for outdoor enthusiasts. Director of Kendal Mountain Events, Steve Scott, said it was ""great news"" it is attracting so many visitors. The independent research was carried out by Kendal company Red Research on behalf of South Lakeland District Council. The council estimated expenditure for the festival was £318,500.","The Kendal Mountain Festival, which was held for 16 years, attracted 14,000 visitors and generated £2m in visitor spend.",the kendal mountain festival which was held for 16 years attracted 14000 visitors and generated £2m in visitor spend,19,True,True,True,"The Kendal Mountain Festival, which was held for 16 years, attracted 14,000 visitors with its outdoor events, and generated £2m in visitor spend.",the kendal mountain festival which was held for 16 years attracted 14000 visitors with its outdoor events and generated £2m in visitor spend,23,True,True,True,4,,,,,,
